시설명,시설주소,X,Y
성모자애엠마우스공동생활가정3호,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애공동생활가정,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애주간보호시설,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애제2주간보호센터,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
성모자애보호작업장,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
사랑손주간보호센터,서울특별시 동작구 사당로 188-7,197292.76686873878,542846.6857096714
서울특별시립장애인생산품판매시설,서울특별시 양천구 목동서로 33,189582.84945650888,548650.9031100739
동작구립장애인보호작업장,서울특별시 동작구 등용로12길 57,194028.50286551012,545833.0404063531
성동주간보호센터,서울특별시 성동구 청계천로 506,202973.9579863982,552316.1147844904
성모보호작업장,서울특별시 성동구 금호산9가길 57-10,201639.05327124917,550382.2627707375
성동보호작업장,서울특별시 성동구 청계천로 506-0,202973.9579863982,552316.1147844904
성동장애인복지관공동생활가정(믿음의집),서울특별시 성동구 금호산9가길 57-10,201639.05327124917,550382.2627707375
성동장애인복지관공동생활가정(소망의집),서울특별시 성동구 금호산9가길 57-10,201639.05327124917,550382.2627707375
성동장애인복지관공동생활가정(사랑의집),서울특별시 성동구 금호산9가길 57-10,201639.05327124917,550382.2627707375
성동장애인복지관 공동생활가정(기쁨의 집),서울특별시 성동구 무수막14길 10,201893.11494713867,550341.3178058221
광진장애인보호작업장,서울특별시 광진구 동일로80길 20,207150.9837264096,552284.4110393765
은평구수어통역센터,서울특별시 은평구 증산서길 82,191770.6713854527,553784.4335311766
정립장애인보호작업장,서울특별시 광진구 워커힐로 93,208627.92921028627,550146.9806368324
정립전자,서울특별시 광진구 워커힐로 93,208627.92921028627,550146.9806368324
보라매그룹홈,서울특별시 동작구 보라매로13길 21,193504.96229473423,544083.963576866
자운그룹홈,서울특별시 도봉구 도봉로185길 14,203912.84382401302,565098.5968135302
까리따스장애인주간보호센터,서울특별시 서초구 남부순환로 2124,198603.460519148,541703.2556035531
사랑의일터,서울특별시 서초구 효령로55길 28,201283.67976463732,542963.9461527778
교남공동생활가정4호,서울특별시 강서구 까치산로8길 44,186417.30537690502,549135.797112126
교남공동생활가정1호,서울특별시 강서구 까치산로16길 21,186639.11432149413,549581.7656583759
구로구립장애인보호작업장,서울특별시 구로구 경인로 21,184502.03197237776,543380.4215048428
동천재활체육시설,서울특별시 노원구 노원로18길 41,206471.52777337804,560533.6658801083
교남공동생활가정5호,서울특별시 강서구 화곡로31길 5-6,186092.39525800926,549361.5519083065
서초구수어통역센터,서울특별시 서초구 서운로23길 17,201870.0907497896,544352.6809138266
서울남부보호작업장,서울특별시 동작구 여의대방로20길 33,192849.1314021715,543694.5259958252
서울장애인종합복지관,서울특별시 강동구 고덕로 201,213108.39034659293,550678.8718979873
오뚜기뇌성마비인주간보호센터,서울특별시 노원구 덕릉로70가길 96,205009.5387691672,560303.4915635223
참사랑주간보호센터,서울특별시 송파구 마천로 89,211522.7882165875,545288.1796873921
번동보호작업장,서울특별시 강북구 한천로 115길 20,203196.77653773697,559275.7835445942
여성시각장애인주간보호센터,서울특별시 중구 소공로4길 15,198554.19582668817,550885.9129998249
맑음터단기보호시설,서울특별시 마포구 백범로 73-11,194741.22130806115,549967.1498108106
연화직업재활원,서울특별시 송파구 가락로 86,209361.64838731533,544563.5172461477
사랑의복지관 재가복지봉사센터,서울특별시 서초구 강남대로65길 19,202121.4186263186,544489.5659935212
하하센터,서울특별시 노원구 한글비석로24가길 72-20,206120.04573284686,562774.2651196221
서초구립주간이용센터,서울특별시 서초구 남부순환로340길 15,202199.68211771295,542522.4326913542
라파엘 주간보호시설,서울특별시 종로구 필운대로9나길 15-4,197057.55594008687,553717.5886489054
서대문장애인주간보호시설,서울특별시 서대문구 북아현로4차길 4,196495.5585616692,551257.6820808648
서은장애인단기보호시설,서울특별시 서대문구 가좌로 19,194105.7820988634,553032.1519720702
브니엘공동생활가정,서울특별시 은평구 증산로19길 28-10,192217.23018615015,555135.4140877292
벧엘공동생활가정,서울특별시 은평구 가좌로 312-11,192123.91518578315,555159.0984348899
중계종합사회복지관장애인주간보호센터,서울특별시 노원구 덕릉로 662,206721.10737008823,561887.9978792053
새생명장애인주간보호소,서울특별시 영등포구 도림로 310-1301,191390.0150743931,545091.3157383362
비둘기주간보호시설,서울특별시 종로구 동숭4길 28,200455.68635373775,553787.5905080461
비둘기직업적응훈련센터,서울특별시 종로구 동숭4길 28,200455.68635373775,553787.5905080461
중구수어통역센터,서울특별시 중구 퇴계로20길 41-11,198833.22248413623,551027.3456887741
미술작은예수의집,서울특별시 송파구 가락로11길 12-6,209270.8830939591,544671.9611628476
영등포구수어통역센터,서울특별시 영등포구 경인로112길 13,192421.94046681814,546518.8305350189
노원구수어통역센터,서울특별시 노원구 상계로23길 17,206046.61172460509,562133.3983097621
(사)대한안마사협회부설안마수련원,서울특별시 서초구 서초중앙로22길 105,201729.56829259454,543899.0689399625
한마음주간보호시설,서울특별시 강북구 삼양로 432,201486.63105939914,560262.7415194685
한마음단기거주시설,서울특별시 강북구 삼양로119길 12,201356.04737122872,560517.0853861662
햇빛자리,서울특별시 용산구 백범로47길 24,196420.88562922564,549050.950155841
마포장애인주간보호센터,서울특별시 마포구 성산로4길 35,191913.52006077048,551587.5962653728
