시설명,X,Y
강남세움주간보호센터,209454.40127401057,543072.9208860333
파랑새교육원주간보호,186869.9518902819,549985.2397150843
화곡성모공동생활가정,186816.63610321176,548802.1006984463
강남장애인복지관,206496.6923259971,543618.141259243
헬렌의집장애인단기보호시설,189829.59564075916,544163.1586515072
로사리아공동생활가정,186816.63610321176,548802.1006984463
우리집주간보호,185648.61335545822,552658.545453965
꿈손단기거주시설,201134.60556124148,559881.0699702939
금천구수어통역센터,190818.40430708084,541709.8967258584
시각장애인주간보호센터,198833.22248413623,551027.3456887741
동대문구수어통역센터,203009.4404360279,552475.2627340952
샬롬의 집,183715.27344283476,550834.5821922034
디딤돌공동생활가정,201520.62335094105,561536.8775998132
역삼주간보호센터,202816.04006160627,544115.1797508124
신망애공동생활가정,203362.43299638692,546752.1391978422
서로함께공동생활가정,203750.38113661073,546953.0592271035
똘레랑스,192441.7783008606,557319.9612566328
마로니에공동생활가정,200040.68883611634,554456.6177955887
영락주간보호센터,199008.56459476924,551540.7320737742
성모주간보호센터,201823.02799492533,549482.4439831662
지앤지주간보호센터,201233.77932564978,561638.8518236973
동문장애인복지관,206465.10110448737,553744.4026574803
성민그룹홈,201353.71739663417,561704.5100325723
파란마음주간보호센터,201151.93289508554,550905.6895199053
구립용산장애인복지관,196621.8743080364,549771.6880012645
서초구립한우리정보문화센터,202199.68211771295,542522.4326913542
다니엘의집4호,201857.31826743303,546190.8920322717
행복한 집,193334.11471455006,551711.1739878356
성민복지관,206108.06733468352,561801.4721047826
기쁜우리복지관,186651.52069523,552197.9334790496
강북장애인종합복지관,203449.09886797532,558791.5486644526
삼성소리샘복지관,195218.82413478597,544407.7949282553
서울시립뇌성마비복지관,205009.5387691672,560303.4915635223
서울시립상이군경복지관,205127.1076071125,560301.5546154735
서울장애인종합복지관보호작업장,213108.39034659293,550678.8718979873
성동장애인종합복지관,202973.9579863982,552316.1147844904
성북시각장애인복지관,201696.90519676675,555088.7059061094
실로암주간보호센터,192614.1741877267,542900.9635734907
에덴장애인종합복지관,185963.86587457207,544649.3222482973
정립회관,208627.92921028627,550146.9806368324
한국시각장애인복지관,214935.85416385077,550174.450954119
양천해누리복지관,188504.14111417247,546719.2939393272
실로암시각장애인복지관,194795.1346672426,542621.3149627262
서부장애인종합복지관,191771.78005402477,556237.133218867
서대문장애인종합복지관,196203.39212514376,551106.3116215856
해나무일터,190316.88151611897,542464.1983665512
장애인주간보호센터청락원,192368.2477160195,539111.8375124037
사랑의복지관,202121.4186263186,544489.5659935212
하상장애인복지관,206636.03868861997,543674.3661908386
희망의학교,207633.05806832298,550500.6806658284
라파엘의집,197332.08762191312,553253.785563191
다운인의 집,207517.10076547295,557986.9035093061
장애인공동생활가정다움이네집,195298.314761214,544399.270230839
사랑의가족,201863.55909189122,543311.7774250495
사랑의그룹홈,199341.0191440238,542616.5513540806
성북그룹홈1호,202671.09205518712,554516.7596724967
성북그룹홈2호,201010.6340983052,556325.7210228589
사랑손공동생활가정소라네,193609.13220524933,544831.6364468058
아름다운집,206370.38342946564,559552.4490280563
아이비해솔그룹홈,212402.2345171746,548481.6855266806
아이비한울그룹홈,212926.53627271383,549281.7432901555
아이비잎새그룹홈,212647.2615182515,549886.0440870669
사랑손공동생활가정연희네,194178.94930799422,543793.2560988748
임마누엘관악1공동체공동생활가정,191791.14493405557,542622.9019134621
임마누엘등촌공동체,186293.5431940204,551224.7799300337
임마누엘영등포공동체,192038.15388124067,545994.9619545392
충현의집1호,205168.12683955496,544199.8255891621
충현의집2호,203320.73789347973,545834.4234235485
충현의집3호,204039.03167961966,541267.762990874
충현의집4호,203750.38113661073,546953.0592271035
충현의집5호,204114.0613328563,546943.2756185612
충현의집6호,205156.42746291956,544656.9519232647
한마음1호공동생활가정,192877.3051760742,558301.4654958885
기쁜우리체육센터,186651.52069523,552197.9334790496
서부재활체육센터,191771.78005402477,556237.133218867
에스알씨(SRC)부설의원,193581.60037688515,543745.9153387756
서울재활병원,191771.78005402477,556237.133218867
도봉장애인보호작업시설,204182.97029786682,563329.7304303336
마라보호작업장,211396.31713275888,542794.177748043
성지보호작업장,213773.11344597786,551314.1028483503
아이비장애인보호작업장,211653.88054763072,549585.9552451582
은평보호작업장,191771.78005402477,556237.133218867
하은장애인보호작업장,188570.53896410513,546499.8130836562
EM실천,189038.0576953534,542424.8403789338
꿈자람터장애인주간보호센터,186896.09211261157,551262.9085388207
서울시립노원시각장애인복지관,205009.5387691672,560303.4915635223
늘푸른마을,186965.35398690056,549855.9878650266
효명장애인보호작업시설,208905.83875467756,546113.077416445
서리풀주간이용센터,202199.68211771295,542522.4326913542
동작구수어통역센터,195309.7476508216,545402.088187533
종로구수어통역센터,199024.40368721227,552349.2355822579
양천구수어통역센터,188572.63430039812,549682.6332013961
성락주간보호,191426.25159473653,545050.6014794146
계명원,191906.03508836124,550470.7506341515
열린마음하나,186702.94741953432,549086.0341792672
삼성그룹홈1호,195298.314761214,544399.270230839
민들레쉼터장애인주간보호시설,189921.5217465902,543991.049996181
드림하우스,185622.61422570495,547674.831925292
선한복지센터,211752.0567914175,547714.1692658134
사랑나눔강동,212766.86041918036,548476.1887461814
하나렘넌트장애인주간보호센터,191997.292366188,550641.7172292868
위드그룹홈,191997.05625991913,556359.4003607753
서울시농아노인지원센터,197102.28275721462,549027.2217946205
디딤돌주간보호센터,193365.9381446202,544678.8420488851
구립강서구직업재활센터,186907.08405840432,551997.3472747193
작은숨골공동생활가정,194143.42720730725,554904.5493854502
서울시립미래형장애인직업재활시설그린내,193629.09387139516,553725.0066679948
논현제2공동생활가정,202667.29005522237,545364.6900297331
포도원복지센터,192334.73481890946,558530.2440564308
마포구수어통역센터,191234.82264023868,551772.4036658434
메타아카데미주간보호센터,212376.46160692026,549235.5671211637
하나인장애인주간보호센터,207501.88769013673,552160.2360621993
희망일터,207633.05806832298,550500.6806658284
서울시립미래형장애인직업재활시설굿윌스토어,212617.65643354828,544556.8290635409
소망의집,208354.7243569316,544459.8489309126
사랑의집,213148.52727840468,543599.0199281093
희망을긷는샘,201031.92662360377,562107.5238182732
내일을 꿈꾸는 사람들,204430.48352216257,563828.0171483974
로뎀나무,186706.32481190248,549606.1529665565
빛가람장애인시설,195428.03425585476,561760.879692858
아름드리주간보호센터,206198.37809790668,555755.1285748712
로뎀하우스,187066.82444472236,550846.8668237033
구립송파구장애인보호작업장,212628.75537761964,543395.8744370412
바우뫼주간보호센터,202378.18668458206,541369.785870427
맑은샘장애인주간보호시설,186233.96971556154,546686.7595840219
다솜센터(시립서대문장애인단기보호센터),193685.12573525755,553094.1377318125
보라매보호작업장,189355.17232786934,542302.3988958771
시립중랑장애인단기거주시설 행복누리,208338.50257504746,554916.0628438548
드림장애인보호작업장,185655.81438623441,546450.0673295396
갑을충의장애인공동생활가정,192719.98477382807,542018.2478331035
행복한나무,190592.38879985968,547151.6966954564
갑을장애인직업휴먼센터,192736.59926590667,542032.0733732546
우리마포보호작업장,194891.74029240635,550704.4274232584
송파위더스,213909.30570074613,543554.7292851439
렘넌트주간보호센터,212145.7418730393,544821.9417560323
우리마포장애인주간이용센터,194891.74029240635,550704.4274232584
해누리하우스,185235.3755048169,548082.3041129749
사랑나눔송파,213537.3834244094,544074.269344967
유일장애인공동생활가정,203431.08792456303,561993.773358206
효정,201427.13730863325,558875.150178571
